MutantId,Name,MutationLayer,Target,BaselineValue,MutantValue,RequirementId,WitnessVectorId,InputSeed,BaselineConfigHash,MutantConfigHash,BaselineVerdict,MutantVerdict,BaselineAuth,MutantAuth,BaselineFreshness,MutantFreshness,BaselineDelivery,MutantDelivery,BaselineStateUpdate,MutantStateUpdate,LoadRejected,Equivalent,Killed,WitnessSpecification,DataOrigin
M1,回绕门控缺失,configuration,rho,AUTH_RESTRICTED,PERMISSIVE,REQ-ROLLOVER-GATING,V0021,20261312,47c95dd4fc3ad73a,a02f7a4eb4353845,PASS,FAIL,PASS,PASS,PASS,PASS,0,1,UPDATED_AUTH,UPDATED_AUTH,false,false,true,authenticated low-FV rollover candidate at receiver state ROLLOVER_PENDING,direct_python_baseline_mutant_comparison
M2,认证器长度策略不符合,configuration_load,ell,64,16,REQ-MAC-LENGTH-POLICY,POLICY-M2-001,,47c95dd4fc3ad73a,ea2da7ab025a1691,PASS,FAIL,NA,NA,NA,NA,0,0,UNCHANGED,UNCHANGED,true,false,true,q=1000; theta=2^-32; baseline_p=5.42101086243e-17; mutant_p=0.0151430782613,direct_python_baseline_mutant_comparison
M3,密码上下文隔离不足,crypto_context_mapping,kappa/key_ref,"{""PDU-A"":""key-0"",""PDU-C"":""key-1""}","{""PDU-A"":""key-1"",""PDU-C"":""key-1""}",REQ-CRYPTO-CONTEXT-ISOLATION,CROSSCTX-M3-001,21160914,f20f7ca0feb9ad6f,7929d83747901649,PASS,FAIL,FAIL,PASS,PASS,PASS,0,1,UNCHANGED,UPDATED_AUTH,false,false,true,target=PDU-A; source-context=PDU-C; payload=02240b1098d531dddc470a31dc6afdd5; wire=02240b1098d531dddc470a31dc6afdd50065db57f07638f91973,direct_python_baseline_mutant_comparison
